ID,code_du_bureau_de_vote,adresse_orig,nb_inscrits,logements_total,etages_moy,X,Y
1,8,3 CHEMIN ABBÉ EDOUARD CESTAC,1,0.0,1.0,-1.4842769999999996,43.486269000000014
2,2,1 RUE DE L'ABESQUE,1,6.0,4.0,-1.4781769999999992,43.49069999999999
3,2,3 RUE DE L'ABESQUE,1,4.0,3.0,-1.4782499999999992,43.490722999999996
4,10,1 RUE ACHILLE ZO,12,12.0,5.0,-1.484744999999999,43.475544
5,10,2 RUE ACHILLE ZO,3,1.0,1.0,-1.4847009999999985,43.47563799999999
6,10,3 RUE ACHILLE ZO,2,1.0,2.0,-1.4848680000000012,43.475728000000004
7,7,17 RUE DE L'ADOUR,2,,0,-1.460175,43.49240300000001
8,7,8 RUE DE L'ADOUR,1,1.0,2.0,-1.4603379999999997,43.491965000000015
9,7,10 RUE DE L'ADOUR,3,1.0,2.0,-1.4602600000000006,43.49212600000001
10,7,11 RUE DE L'ADOUR,2,3.0,2.0,-1.4605079999999993,43.492219000000006
11,7,11TER RUE DE L'ADOUR,14,6.0,3.0,-1.4607820000000005,43.49237099999999
12,7,14 RUE DE L'ADOUR,2,1.0,1.0,-1.4602049999999993,43.49223299999998
13,7,14BIS RUE DE L'ADOUR,1,1.0,1.0,-1.4599550000000008,43.492179000000014
14,7,15 RUE DE L'ADOUR,1,0.0,0,-1.4601590000000004,43.49255500000001
15,7,16 RUE DE L'ADOUR,4,1.0,2.0,-1.460006999999999,43.492222
16,7,18 RUE DE L'ADOUR,1,2.0,2.0,-1.4601589999999995,43.49231399999999
17,7,19 RUE DE L'ADOUR,2,1.0,2.0,-1.4598979999999988,43.49306899999999
18,7,22 RUE DE L'ADOUR,1,1.0,2.0,-1.4601099999999991,43.49241699999999
19,7,24 RUE DE L'ADOUR,2,0.0,1.0,-1.4600839999999995,43.49246500000001
20,7,27 RUE DE L'ADOUR,2,4.0,2.0,-1.4597080000000007,43.49343500000003
21,7,30 RUE DE L'ADOUR,4,1.0,2.0,-1.459927999999999,43.492751000000005
22,7,34 RUE DE L'ADOUR,1,3.0,2.0,-1.4598139999999984,43.49298100000001
23,7,36 RUE DE L'ADOUR,3,0.0,0,-1.4597739999999992,43.49305999999999
24,7,38 RUE DE L'ADOUR,3,0.0,,-1.4597270000000009,43.493153000000014
25,7,42 RUE DE L'ADOUR,27,24.0,4.0,-1.459618,43.49337299999999
26,13,3 ALLÉE AHUSQUI,3,1.0,2.0,-1.4980509999999991,43.48130300000001
27,13,4 ALLÉE AHUSQUI,1,1.0,2.0,-1.4980899999999997,43.481137
28,13,5 ALLÉE AHUSQUI,1,1.0,2.0,-1.497974,43.481178
29,13,6 ALLÉE AHUSQUI,2,1.0,2.0,-1.4979990000000003,43.48100300000002
30,13,7 ALLÉE AHUSQUI,1,1.0,1.0,-1.497857,43.480991999999986
31,13,9 ALLÉE AHUSQUI,2,1.0,2.0,-1.4976739999999993,43.48068999999999
32,13,11 ALLÉE AHUSQUI,3,1.0,2.0,-1.497536,43.48052400000002
33,14,1 RUE ADRIEN BARTHE,6,1.0,2.0,-1.4951869999999992,43.48281800000001
34,13,2 RUE ADRIEN BARTHE,5,1.0,2.0,-1.4952549999999993,43.48270300000001
35,13,4 RUE ADRIEN BARTHE,2,1.0,2.0,-1.4948099999999986,43.48243499999998
36,13,4BIS RUE ADRIEN BARTHE,2,1.0,2.0,-1.4946650000000001,43.48226400000003
37,14,5 RUE ADRIEN BARTHE,2,1.0,2.0,-1.4948030000000003,43.48256899999999
38,13,6 RUE ADRIEN BARTHE,4,1.0,2.0,-1.4945159999999995,43.482115
39,14,7 RUE ADRIEN BARTHE,1,0.0,1.0,-1.4947280000000003,43.482492999999984
40,13,8 RUE ADRIEN BARTHE,1,1.0,1.0,-1.4943310000000003,43.481897000000004
41,13,8BIS RUE ADRIEN BARTHE,3,0.0,,-1.4942469999999997,43.481837
42,14,9 RUE ADRIEN BARTHE,2,1.0,1.0,-1.4946300000000001,43.48238299999999
43,13,10 RUE ADRIEN BARTHE,3,1.0,1.0,-1.4939589999999987,43.481673999999984
44,14,11 RUE ADRIEN BARTHE,4,1.0,2.0,-1.4943399999999993,43.482075
45,14,13 RUE ADRIEN BARTHE,1,1.0,2.0,-1.494201,43.481928
46,13,14 RUE ADRIEN BARTHE,1,1.0,2.0,-1.493866,43.48124
47,14,15 RUE ADRIEN BARTHE,4,1.0,2.0,-1.4938989999999992,43.481754999999964
48,14,19 RUE ADRIEN BARTHE,3,1.0,2.0,-1.493730999999999,43.48131599999999
49,9,2B RUE ALBÉRIC POITRENAUD,6,,,-1.4862659999999994,43.48309999999999
50,9,6 RUE ALBÉRIC POITRENAUD,16,19.0,5.0,-1.4860430000000002,43.483550000000015
51,9,7 RUE ALBÉRIC POITRENAUD,10,25.0,4.0,-1.4857060000000004,43.483288
52,9,8 RUE ALBÉRIC POITRENAUD,15,25.0,4.0,-1.4858680000000002,43.483309999999996
53,9,8BIS RUE ALBÉRIC POITRENAUD,14,0.0,1.0,-1.4864629999999992,43.48351199999998
54,9,9 RUE ALBÉRIC POITRENAUD,14,25.0,4.0,-1.4860090000000001,43.483327
55,9,9C RUE ALBÉRIC POITRENAUD,1,0.0,,-1.4861840000000004,43.48285400000001
56,9,10 RUE ALBÉRIC POITRENAUD,16,20.0,5.0,-1.4863110000000008,43.48331900000001
57,9,11 RUE ALBÉRIC POITRENAUD,4,20.0,5.0,-1.486656999999999,43.48335999999999
58,9,12 RUE ALBÉRIC POITRENAUD,1,22.0,4.0,-1.486979999999999,43.48322999999999
59,9,13 RUE ALBÉRIC POITRENAUD,21,10.0,5.0,-1.486898,43.483524
60,9,14 RUE ALBÉRIC POITRENAUD,15,10.0,5.0,-1.4864739999999996,43.483127999999994
61,9,15 RUE ALBÉRIC POITRENAUD,15,10.0,5.0,-1.4865429999999997,43.48285599999999
62,9,16 RUE ALBÉRIC POITRENAUD,18,10.0,5.0,-1.4865829999999998,43.482573
63,9,17 RUE ALBÉRIC POITRENAUD,12,10.0,5.0,-1.4863050000000002,43.482424000000016
64,1,4 RUE ALBERT 1ER,2,0.0,,-1.4765479999999986,43.49349900000001
65,1,8 RUE ALBERT 1ER,3,8.0,6.0,-1.4767019999999993,43.493347
66,1,10 RUE ALBERT 1ER,8,8.0,6.0,-1.4767989999999995,43.493242999999985
67,1,12 RUE ALBERT 1ER,12,5.0,4.0,-1.476892,43.493157
68,1,13 RUE ALBERT 1ER,6,9.0,5.0,-1.4767529999999998,43.49308200000002
69,1,14 RUE ALBERT 1ER,7,4.0,4.0,-1.4769869999999996,43.49306400000001
70,1,16 RUE ALBERT 1ER,6,4.0,4.0,-1.4770759999999992,43.49298400000001
71,1,18 RUE ALBERT 1ER,2,2.0,3.0,-1.4772059999999987,43.492855
72,26,1 RUE ALBERT THOMAS,5,0.0,1.0,-1.4605700000000001,43.493724
73,26,1BIS RUE ALBERT THOMAS,2,1.0,2.0,-1.460602000000001,43.493834000000014
74,7,2BIS RUE ALBERT THOMAS,2,1.0,2.0,-1.4608329999999985,43.494045999999976
75,26,5 RUE ALBERT THOMAS,4,4.0,2.0,-1.4607460000000012,43.49435299999999
76,7,6 RUE ALBERT THOMAS,4,0.0,,-1.460908,43.494291
77,26,7 RUE ALBERT THOMAS,3,2.0,2.0,-1.460696999999999,43.494508999999994
78,7,8 RUE ALBERT THOMAS,17,0.0,1.0,-1.460976,43.494460000000004
79,26,9 RUE ALBERT THOMAS,3,1.0,2.0,-1.460659,43.49461199999999
80,7,10 RUE ALBERT THOMAS,1,6.0,3.0,-1.4607609999999993,43.494765
81,26,11 RUE ALBERT THOMAS,3,1.0,2.0,-1.460617999999999,43.494714
82,26,13 RUE ALBERT THOMAS,5,2.0,1.0,-1.460577,43.494851000000004
83,7,14 RUE ALBERT THOMAS,4,1.0,1.0,-1.460623999999999,43.495152000000004
84,26,15 RUE ALBERT THOMAS,1,1.0,2.0,-1.4605379999999992,43.49494700000001
85,7,16 RUE ALBERT THOMAS,3,2.0,1.0,-1.4605949999999996,43.49521200000002
86,7,16BIS RUE ALBERT THOMAS,2,2.0,1.0,-1.4605720000000002,43.49526999999999
87,26,17 RUE ALBERT THOMAS,3,2.0,2.0,-1.4605209999999997,43.495016
88,7,18 RUE ALBERT THOMAS,2,0.0,1.0,-1.4605560000000004,43.495353000000016
89,7,18BIS RUE ALBERT THOMAS,2,0.0,,-1.4604790000000005,43.495546
90,26,19 RUE ALBERT THOMAS,1,0.0,,-1.4604859999999988,43.495096
91,26,19BIS RUE ALBERT THOMAS,3,2.0,2.0,-1.4604640000000002,43.495159
92,26,21 RUE ALBERT THOMAS,2,1.0,2.0,-1.4604509999999988,43.49520600000001
93,7,22 RUE ALBERT THOMAS,10,0.0,,-1.4604,43.495762
94,26,23 RUE ALBERT THOMAS,3,1.0,2.0,-1.4604309999999991,43.495264
